order,species,family,locomotion,logmass,mig,hetero,abslat,latitude,diet,hemisphere,habitat_category,habitat_sub,mig.het1,mig.het2
Rodentia,Graphiurus_ocularis,Myoxidae,T,1.84,0,1,32.41,-32.41,Omnivore,S,Shrubland,TRS,2,1
Afrosoricida,Hemicentetes_semispinosus,Tenrecidae,T,2.13,0,1,18.86,-18.86,Insectivore,S,Forest,TRF,2,1
Erinaceomorpha,Hemiechinus_auritus,Erinaceidae,T,2.53,0,1,42.23,42.23,Insectivore,N,Shrubland,TES,2,1
Chiroptera,Ia_io,Vespertilionidae,A,1.69,0,1,25.14,25.14,Insectivore,N,Forest,TRF,2,1
Rodentia,Jaculus_jaculus,Dipodidae,T,1.75,0,1,25.35,25.35,Herbivore,N,Shrubland,TRS,2,1
Rodentia,Jaculus_orientalis,Dipodidae,T,2.14,0,1,34.48,34.48,Herbivore,N,Shrubland,TRS,2,1
Afrosoricida,Limnogale_mergulus,Tenrecidae,T,1.9,0,0,19.98,-19.98,Insectivore,S,Forest,TRF,2,0
Chiroptera,Macroglossus_minimus,Pteropodidae,A,1.2,0,1,1.68,-1.68,Frugivore,S,Forest,TRF,2,1
Macroscelidea,Macroscelides_proboscideus,Macroscelididae,T,1.58,0,1,29.14,-29.14,Insectivore,S,Shrubland,TRS,2,1
Didelphimorphia,Marmosa_robinsoni,Didelphidae,T,1.75,0,1,8.67,8.67,Omnivore,N,Forest,TRF,2,1
Rodentia,Marmota_baibacina,Sciuridae,T,3.68,0,1,48.84,48.84,Herbivore,N,Grassland,GTE,2,1
Rodentia,Marmota_bobak,Sciuridae,T,3,0,1,50.83,50.83,Herbivore,N,Grassland,GTE,2,1
Rodentia,Marmota_broweri,Sciuridae,T,3.4,0,1,68.59,68.59,Herbivore,N,Grassland,GTE,2,1
Rodentia,Marmota_caligata,Sciuridae,T,3.86,0,1,61.08,61.08,Herbivore,N,Tundra,GTU,2,1
Rodentia,Marmota_camtschatica,Sciuridae,T,3,0,1,61.87,61.87,Herbivore,N,Tundra,GTU,2,1
Rodentia,Marmota_caudata,Sciuridae,T,3.64,0,1,37.47,37.47,Herbivore,N,Shrubland,TES,2,1
Rodentia,Marmota_flaviventris,Sciuridae,T,3.53,0,1,43.31,43.31,Herbivore,N,Forest,BF,2,1
Rodentia,Marmota_himalayana,Sciuridae,T,3.69,0,1,34.24,34.24,Herbivore,N,Shrubland,TES,2,1
Rodentia,Marmota_marmota,Sciuridae,T,3.3,0,1,46.14,46.14,Herbivore,N,Grassland,GTE,2,1
Rodentia,Marmota_menzbieri,Sciuridae,T,3,0,1,42.23,42.23,Herbivore,N,Shrubland,TRS,2,1
Rodentia,Marmota_monax,Sciuridae,T,3.58,0,1,50.1,50.1,Herbivore,N,Forest,BF,2,1
Rodentia,Marmota_olympus,Sciuridae,T,3.8,0,1,47.68,47.68,Herbivore,N,Forest,BF,2,1
Rodentia,Marmota_sibirica,Sciuridae,T,3.52,0,1,47.98,47.98,Herbivore,N,Shrubland,TES,2,1
